no,value
1,10456
2,11067.5
3,11685.75
4,31029.5
5,13754
6,15081.25
7,9524.75
8,16409.25
9,14086.25
10,18169.75
11,11715.25
12,10365
13,15096.5
14,18366
15,10344.5
16,9201.75
17,5421.25
18,559
19,710
20,726
21,820
22,881
23,1018
24,1069
25,1139
26,9172.5
27,11424.5
28,16009.5
29,12273.5
30,12130.25
31,9134
32,1789.5
33,16895.75
34,13486.25
35,13755.75
36,10891.25
37,9325.75
38,14192
39,18692.75
40,9939.75
41,18198
42,25798
43,16421.25
44,20458.75
45,559
46,710
47,726
48,820
49,881
50,1018
51,1069
52,1139
53,17480.5
54,15604.75
55,8740.75
56,17085.25
57,15926.75
58,6523
59,11504
60,5371.25
61,10477.75
62,9052
63,6601
64,6973.25
65,9349.5
