intExpID,Type,Case,Protocol,total_users,user_no,intSeg,intArr,intDel,intSta,intRep,intDelRate,intActRate,intByteSize,floatBuf,algorithm_used,seg_Dur,width,height,resolutions,Clae,Duanmu,Yin,Yu,P1203
60,5g,Driving-10,tcp,1,1,1,22,21,0,239,812,8,2132,2000,elastic,2000,320,180,320x180,0,51.077,-5760.485,0.24,1.871
60,5g,Driving-10,tcp,1,1,2,1177,463,0,766,4650,1076,269129,4000,elastic,2000,512,288,512x288,0.25,48.689,-11520.97,0.503,2.143
60,5g,Driving-10,tcp,1,1,3,2637,792,0,1077,5099,2019,504822,4540,elastic,2000,640,360,640x360,0.419,49.955,1245.328,0.695,2.509
60,5g,Driving-10,tcp,1,1,4,3796,479,0,1077,8120,1944,486242,5382,elastic,2000,640,360,640x360,0.587,50.626,2323.25,0.79,2.643
60,5g,Driving-10,tcp,1,1,5,4925,460,0,1801,8477,1949,487454,6253,elastic,2000,736,414,736x414,0.585,52.113,3401.172,0.993,2.821
60,5g,Driving-10,tcp,1,1,6,6188,589,0,2422,8721,2568,642088,6991,elastic,2000,1280,720,1280x720,0.577,53.798,5202.506,1.231,3.254
60,5g,Driving-10,tcp,1,1,7,7025,159,0,4375,46803,3720,930218,8154,elastic,2000,1920,1080,1920x1080,0.224,57.139,7624.873,1.68,3.37
60,5g,Driving-10,tcp,1,1,8,8508,748,0,4375,8366,3129,782275,8671,elastic,2000,1920,1080,1920x1080,0.333,59.497,11999.892,2.017,3.493
60,5g,Driving-10,tcp,1,1,9,10036,837,0,4375,8778,3673,918424,9144,elastic,2000,1920,1080,1920x1080,0.533,61.332,16374.911,2.279,3.608
60,5g,Driving-10,tcp,1,1,10,11066,299,0,4375,23559,3522,880531,10114,elastic,2000,1920,1080,1920x1080,0.749,62.799,20749.93,2.489,3.705
60,5g,Driving-10,tcp,1,1,11,12608,750,0,4375,9804,3676,919189,10573,elastic,2000,1920,1080,1920x1080,0.959,63.999,25124.949,2.66,3.766
60,5g,Driving-10,tcp,1,1,12,13802,476,0,4375,16204,3856,964150,11380,elastic,2000,1920,1080,1920x1080,1.156,65,29499.968,2.803,3.823
60,5g,Driving-10,tcp,1,1,13,14974,444,0,4375,16159,3587,896857,12209,elastic,2000,1920,1080,1920x1080,1.339,65.846,33874.987,2.924,3.864
60,5g,Driving-10,tcp,1,1,14,16742,948,0,4375,5812,2754,688741,12441,elastic,2000,1920,1080,1920x1080,1.506,66.572,38250.006,3.028,3.961
60,5g,Driving-10,tcp,1,1,15,18097,566,0,4375,9886,2797,699451,13087,elastic,2000,1920,1080,1920x1080,1.66,67.201,42625.025,3.117,4.016
60,5g,Driving-10,tcp,1,1,16,19185,318,0,4375,23965,3810,952635,14000,elastic,2000,1920,1080,1920x1080,1.802,67.751,47000.044,3.196,4.051
60,5g,Driving-10,tcp,1,1,17,20952,947,0,4375,10495,4969,1242459,14233,elastic,2000,1920,1080,1920x1080,1.932,68.236,51375.063,3.265,4.081
60,5g,Driving-10,tcp,1,1,18,23127,1369,0,4375,8001,5477,1369313,14059,elastic,2000,1920,1080,1920x1080,2.052,68.668,55750.082,3.327,4.11
60,5g,Driving-10,tcp,1,1,19,26472,2570,0,4375,4604,5916,1479218,12714,elastic,2000,1920,1080,1920x1080,2.163,69.054,60125.101,3.382,4.139
60,5g,Driving-10,tcp,1,1,20,27316,49,0,4375,234368,5742,1435508,13871,elastic,2000,1920,1080,1920x1080,2.267,69.401,64500.12,3.432,4.164
60,5g,Driving-10,tcp,1,1,21,29079,915,0,4375,12139,5553,1388420,14108,elastic,2000,1920,1080,1920x1080,2.363,69.716,68875.139,3.477,4.189
60,5g,Driving-10,tcp,1,1,22,31343,1410,0,4375,9271,6536,1634147,13845,elastic,2000,1920,1080,1920x1080,2.452,70.002,73250.158,3.518,4.213
60,5g,Driving-10,tcp,1,1,23,33833,1599,0,4375,7064,5648,1412035,13356,elastic,2000,1920,1080,1920x1080,2.536,70.263,77625.177,3.555,4.232
60,5g,Driving-10,tcp,1,1,24,35401,721,0,4375,17182,6194,1548563,13788,elastic,2000,1920,1080,1920x1080,2.615,70.502,82000.196,3.589,4.249
60,5g,Driving-10,tcp,1,1,25,37382,1069,0,4375,10526,5626,1406618,13808,elastic,2000,1920,1080,1920x1080,2.688,70.722,86375.215,3.62,4.266
60,5g,Driving-10,tcp,1,1,26,39486,1240,0,4375,8769,5437,1359256,13705,elastic,2000,1920,1080,1920x1080,2.758,70.925,90750.234,3.649,4.283
60,5g,Driving-10,tcp,1,1,27,41495,1129,0,4375,9315,5258,1314597,13696,elastic,2000,1920,1080,1920x1080,2.823,71.113,95125.253,3.676,4.297
60,5g,Driving-10,tcp,1,1,28,43525,1126,0,4375,8939,5033,1258290,13667,elastic,2000,1920,1080,1920x1080,2.885,71.288,99500.272,3.701,4.311
60,5g,Driving-10,tcp,1,1,29,45856,1356,0,4375,6910,4685,1171307,13337,elastic,2000,1920,1080,1920x1080,2.944,71.451,103875.291,3.725,4.323
