intExpID,Type,Case,Protocol,total_users,user_no,intSeg,intArr,intDel,intSta,intRep,intDelRate,intActRate,intByteSize,floatBuf,algorithm_used,seg_Dur,width,height,resolutions,Clae,Duanmu,Yin,Yu,P1203
25,5g,Driving-7,tcp,1,1,1,20,19,0,239,897,8,2132,2000,elastic,2000,320,180,320x180,0,51.077,-5760.485,0.24,1.871
25,5g,Driving-7,tcp,1,1,2,1193,534,0,766,4031,1076,269129,4000,elastic,2000,512,288,512x288,0.25,48.689,-11520.97,0.503,2.143
25,5g,Driving-7,tcp,1,1,3,2724,871,0,1077,4636,2019,504822,4469,elastic,2000,640,360,640x360,0.419,49.955,1245.328,0.695,2.509
25,5g,Driving-7,tcp,1,1,4,4017,633,0,1801,10987,3477,869396,5177,elastic,2000,736,414,736x414,0.426,51.963,2323.25,0.971,2.818
25,5g,Driving-7,tcp,1,1,5,5096,419,0,1801,9306,1949,487454,6099,elastic,2000,736,414,736x414,0.605,53.125,4124.584,1.137,2.927
25,5g,Driving-7,tcp,1,1,6,6218,471,0,2422,10905,2568,642088,6978,elastic,2000,1280,720,1280x720,0.692,54.642,5925.918,1.351,3.31
25,5g,Driving-7,tcp,1,1,7,7038,135,0,4375,55124,3720,930218,8158,elastic,2000,1920,1080,1920x1080,0.398,57.863,8348.285,1.783,3.439
25,5g,Driving-7,tcp,1,1,8,8307,551,0,4375,11357,3129,782275,8890,elastic,2000,1920,1080,1920x1080,0.513,60.13,12723.304,2.107,3.58
25,5g,Driving-7,tcp,1,1,9,9593,606,0,4375,12124,3673,918424,9605,elastic,2000,1920,1080,1920x1080,0.71,61.894,17098.323,2.359,3.685
25,5g,Driving-7,tcp,1,1,10,10898,600,0,4375,11740,3522,880531,10300,elastic,2000,1920,1080,1920x1080,0.921,63.305,21473.342,2.561,3.751
25,5g,Driving-7,tcp,1,1,11,12325,731,0,4375,10059,3676,919189,10874,elastic,2000,1920,1080,1920x1080,1.126,64.46,25848.361,2.726,3.81
25,5g,Driving-7,tcp,1,1,12,13861,775,0,4375,9952,3856,964150,11339,elastic,2000,1920,1080,1920x1080,1.318,65.422,30223.38,2.863,3.866
25,5g,Driving-7,tcp,1,1,13,15119,546,0,4375,13140,3587,896857,12081,elastic,2000,1920,1080,1920x1080,1.494,66.236,34598.399,2.98,3.905
25,5g,Driving-7,tcp,1,1,14,16403,461,0,4375,11952,2754,688741,12797,elastic,2000,1920,1080,1920x1080,1.657,66.933,38973.418,3.079,4
25,5g,Driving-7,tcp,1,1,15,17604,474,0,4375,11805,2797,699451,13597,elastic,2000,1920,1080,1920x1080,1.806,67.538,43348.437,3.166,4.054
25,5g,Driving-7,tcp,1,1,16,18938,582,0,4375,13094,3810,952635,14263,elastic,2000,1920,1080,1920x1080,1.942,68.067,47723.456,3.241,4.087
25,5g,Driving-7,tcp,1,1,17,20426,706,0,4375,14078,4969,1242459,14775,elastic,2000,1920,1080,1920x1080,2.068,68.534,52098.475,3.308,4.116
25,5g,Driving-7,tcp,1,1,18,22092,810,0,4375,13524,5477,1369313,15110,elastic,2000,1920,1080,1920x1080,2.184,68.949,56473.494,3.367,4.144
25,5g,Driving-7,tcp,1,1,19,23238,363,0,4375,32599,5916,1479218,15965,elastic,2000,1920,1080,1920x1080,2.292,69.32,60848.513,3.42,4.173
25,5g,Driving-7,tcp,1,1,20,25288,1210,0,4375,9490,5742,1435508,15915,elastic,2000,1920,1080,1920x1080,2.392,69.655,65223.532,3.468,4.196
25,5g,Driving-7,tcp,1,1,21,27250,1187,0,4375,9357,5553,1388420,15954,elastic,2000,1920,1080,1920x1080,2.484,69.957,69598.551,3.511,4.221
25,5g,Driving-7,tcp,1,1,22,29096,1022,0,4375,12791,6536,1634147,16108,elastic,2000,1920,1080,1920x1080,2.571,70.232,73973.57,3.55,4.243
25,5g,Driving-7,tcp,1,1,23,30744,761,0,4375,14843,5648,1412035,16461,elastic,2000,1920,1080,1920x1080,2.652,70.483,78348.589,3.586,4.261
25,5g,Driving-7,tcp,1,1,24,33062,1426,0,4375,8687,6194,1548563,16144,elastic,2000,1920,1080,1920x1080,2.728,70.713,82723.608,3.619,4.278
25,5g,Driving-7,tcp,1,1,25,35069,1171,0,4375,9609,5626,1406618,16137,elastic,2000,1920,1080,1920x1080,2.799,70.925,87098.627,3.649,4.301
25,5g,Driving-7,tcp,1,1,26,36814,899,0,4375,12095,5437,1359256,16393,elastic,2000,1920,1080,1920x1080,2.866,71.12,91473.646,3.677,4.311
25,5g,Driving-7,tcp,1,1,27,38570,871,0,4375,12074,5258,1314597,16637,elastic,2000,1920,1080,1920x1080,2.929,71.301,95848.665,3.703,4.326
25,5g,Driving-7,tcp,1,1,28,40537,1064,0,4375,9460,5033,1258290,16670,elastic,2000,1920,1080,1920x1080,2.989,71.469,100223.684,3.727,4.341
25,5g,Driving-7,tcp,1,1,29,42329,895,0,4375,10469,4685,1171307,16879,elastic,2000,1920,1080,1920x1080,3.045,71.625,104598.703,3.749,4.361
25,5g,Driving-7,tcp,1,1,30,43466,270,0,4375,31474,4249,1062270,17742,elastic,2000,1920,1080,1920x1080,3.099,71.771,108973.722,3.77,4.365
25,5g,Driving-7,tcp,1,1,31,45514,1141,0,4375,5868,3348,837012,17695,elastic,2000,1920,1080,1920x1080,3.15,71.908,113348.741,3.79,4.378
25,5g,Driving-7,tcp,1,1,32,47501,1096,0,4375,7092,3886,971715,17708,elastic,2000,1920,1080,1920x1080,3.199,72.036,117723.76,3.808,4.39
25,5g,Driving-7,tcp,1,1,33,49344,889,0,4375,10205,4536,1134060,17866,elastic,2000,1920,1080,1920x1080,3.245,72.156,122098.779,3.825,4.4
25,5g,Driving-7,tcp,1,1,34,50848,588,0,4375,9641,2834,708619,18362,elastic,2000,1920,1080,1920x1080,3.289,72.269,126473.798,3.841,4.405
25,5g,Driving-7,tcp,1,1,35,52399,616,0,4375,11729,3612,903187,18812,elastic,2000,1920,1080,1920x1080,3.331,72.376,130848.817,3.857,4.412
25,5g,Driving-7,tcp,1,1,36,53745,356,0,3918,10922,1944,486058,19466,elastic,2000,1920,1080,1920x1080,3.359,72.345,134310.64,3.858,4.421
25,5g,Driving-7,tcp,1,1,37,55237,525,0,4375,9776,2566,641568,19975,elastic,2000,1920,1080,1920x1080,3.398,72.411,138229.061,3.872,4.429
25,5g,Driving-7,tcp,1,1,38,56743,534,0,4375,8617,2300,575203,20470,elastic,2000,1920,1080,1920x1080,3.435,72.504,142604.08,3.886,4.436
25,5g,Driving-7,tcp,1,1,39,58284,558,0,4375,8357,2331,582905,20930,elastic,2000,1920,1080,1920x1080,3.471,72.592,146979.099,3.898,4.447
25,5g,Driving-7,tcp,1,1,40,59629,317,0,4375,15039,2383,595956,21585,elastic,2000,1920,1080,1920x1080,3.505,72.675,151354.118,3.91,4.454
25,5g,Driving-7,tcp,1,1,41,63677,3046,0,4375,1770,2695,673957,19537,elastic,2000,1920,1080,1920x1080,3.538,72.755,155729.137,3.921,4.466
25,5g,Driving-7,tcp,1,1,42,67717,3042,0,1801,843,1282,320689,17497,elastic,2000,736,414,736x414,3.42,72.563,154956.786,3.871,4.335
25,5g,Driving-7,tcp,1,1,43,71763,2958,0,766,368,545,136274,15452,elastic,2000,512,288,512x288,3.203,72.064,154688.048,3.799,4.064
25,5g,Driving-7,tcp,1,1,44,74999,2189,0,378,278,305,76254,14216,elastic,2000,384,216,384x216,2.963,71.48,154678.904,3.721,3.798
25,5g,Driving-7,tcp,1,1,45,76981,926,0,239,234,108,27108,14234,elastic,2000,320,180,320x180,2.733,70.89,154779.357,3.644,3.619
25,5g,Driving-7,tcp,1,1,46,78901,919,0,239,229,105,26359,14315,elastic,2000,320,180,320x180,2.527,70.372,155018.872,3.57,3.417
