Window,ExpID,Case,Algo,timeslot sec,timeslot mil,IAT,IPG Avg,IPG Avg GT100,IAT GT100,Throughput,Total Packets,Total Packet GT100,10p Length,20p Length,30p Length,40p Length,50p Length,60p Length,70p Length,80p Length,90p Length,Single EMA,CUSUM,Double EMA,P1203,P1203C,P1203N
5,1,Driving-7,elastic,0,0,3.840703964,0.01167387223,0.01291023232,3.834339,1742345.6,330,298,114,2446,2948,2948,2948,2948,2948,2948,7292,3.121657374,686.9715929,1219.669032,2.238,Average,2
5,1,Driving-7,elastic,5,5000,4.563088894,0.01000677389,0.01032947955,4.544971,4033187.2,457,441,1500,2948,4396,5844,5844,6852,7292,7292,7292,5.222254524,1229.186781,2254.353226,3.056666667,Good,3
5,1,Driving-7,elastic,10,10000,3.679327965,0.006981646992,0.007115858252,3.664667,4411032,528,516,1603,2948,4396,4396,4396,5844,7292,7292,8740,4.419176559,1084.931931,2460.153475,3.484,Good,3
5,1,Driving-7,elastic,15,15000,4.445058107,0.006684297906,0.006979966825,4.418319,5277073.6,666,634,1500,1922,2948,4396,5844,5844,5844,5844,5844,6.66973656,1617.606961,3809.398937,3.72,Good,3
5,1,Driving-7,elastic,20,20000,4.391674995,0.007235049416,0.007127723368,4.148335,6055284.8,608,583,1500,2948,4396,4396,5844,5844,8740,8740,13084,3.540215256,1261.925454,3088.516983,3.870333333,Good,3
5,1,Driving-7,elastic,25,25000,4.699978113,0.005731680626,0.005831238213,4.699978,6695625.6,821,807,2948,4396,4396,4396,5844,5844,5844,7292,7292,5.224420646,2251.640231,5587.089905,3.969333333,Good,3
5,1,Driving-7,elastic,30,30000,4.405071974,0.00606759225,0.006345683526,4.391213,6130897.6,727,693,1500,4396,5844,5844,5844,5844,5844,5844,7292,4.776915841,1362.85958,3981.0546,4.046333333,Excellent,4
5,1,Driving-7,elastic,35,35000,4.965359926,0.009094065799,0.008112327586,4.234635,5791230.4,547,523,1500,4396,5844,5844,7292,8740,8740,8740,8740,3.74725905,1187.627786,2663.606051,4.099,Excellent,4
5,1,Driving-7,elastic,40,40000,4.837012768,0.00620129842,0.006382492715,4.818782,5077782.4,781,756,1500,2948,2948,2948,4396,4396,4396,5844,7292,5.646956806,1810.991091,4831.096939,4.135,Excellent,4
5,1,Driving-7,elastic,45,45000,4.989127159,0.009557714864,0.01024461396,4.989127,3516398.4,523,488,1500,2948,4396,4396,4396,4396,4396,5844,5844,4.394116164,1178.143925,2526.198059,4.189,Excellent,4
5,1,Driving-7,elastic,50,50000,4.971853018,0.01000372841,0.01069215699,4.971853,3608096,498,466,1500,2948,4396,4396,4396,5844,5844,5844,7292,4.43007762,1425.382651,2643.698302,4.231666667,Excellent,4
5,1,Driving-7,elastic,55,55000,4.864048958,0.0156400288,0.01182039502,3.321531,3238089.6,312,282,212,2948,2948,4396,5844,7292,8740,8740,16458,3.681726964,907.5106504,1380.485858,4.267666667,Excellent,4
5,1,Driving-7,elastic,60,60000,3.999746084,0.01999873042,0.01876065663,3.114269,942012.8,201,167,52,1500,1500,2948,2948,2948,2948,4396,4396,2.924463615,589.9315286,783.0324355,4.288,Excellent,4
5,1,Driving-7,elastic,65,65000,4.19255209,0.03710223088,0.03114080723,2.584687,435393.6,114,84,52,52,1500,1500,2948,2948,2948,2948,2948,1.986900991,301.1261158,361.3949258,4.128,Excellent,4
5,1,Driving-7,elastic,70,70000,4.644227982,0.04993793529,0.06903765079,4.349372,255089.6,94,64,52,52,60,1500,1524,2948,2948,2948,2948,17.66865971,240.0257568,280.6517651,3.7495,Good,3
5,1,Driving-7,elastic,75,75000,4.607556105,0.0648951564,0.09396962069,2.725119,125627.2,72,30,52,52,52,52,52,566,2948,2948,2948,1.443315596,162.0525043,185.2842073,3.255333333,Good,3
5,1,Driving-7,elastic,80,80000,4.57982707,0.05452175084,0.096902,4.457492,177579.2,85,47,52,52,52,52,1260,1500,1603,2948,2948,1.617007604,190.9543345,223.9062764,2.905,Average,2
5,1,Driving-7,elastic,85,85000,4.352184057,0.0669566778,0.07474854545,2.466702,112552,66,34,52,52,52,52,680.5,1500,1500,2446,2948,1.233683011,154.1049714,173.3639665,2.75,Average,2
5,1,Driving-7,elastic,90,90000,4.72814393,0.05984992317,0.1285745333,3.857236,120401.6,80,31,52,52,52,52,52,60,1500,2948,2948,4.225720393,175.1203568,204.2203928,2.66,Average,2
5,1,Driving-7,elastic,95,95000,4.808372974,0.06678295798,0.1685535385,4.382392,112747.2,73,27,52,52,52,52,52,60,1603,2948,2948,1.419212522,174.6766396,198.4899992,2.601,Average,2
5,1,Driving-7,elastic,100,100000,4.780519009,0.05032125272,0.07347503077,4.775877,267404.8,96,66,52,52,52,1500,1551.5,2948,2948,2948,2948,2.148598316,268.6036625,310.5697758,2.5475,Average,2
5,1,Driving-7,elastic,105,105000,4.776558876,0.04975582163,0.04777042,2.388521,215974.4,97,51,52,52,52,52,1500,2948,2948,2948,2948,1.93525207,270.83846,313.7301694,2.4895,Average,2
5,1,Driving-7,elastic,110,110000,4.740083933,0.02662968502,0.03260982031,4.174057,655971.2,179,129,52,52,1260,2948,2948,2948,2948,2948,4396,3.748948753,346.6355584,500.7316733,2.44675,Average,2
5,1,Driving-7,elastic,115,115000,4.915467024,0.02265192177,0.02666897619,4.480388,1084033.6,218,169,52,52,1603,2948,2948,2948,2948,4396,7292,2.836230906,558.4580324,787.233615,2.494333333,Average,2
5,1,Driving-7,elastic,120,120000,4.958642006,0.02015708132,0.02030588947,3.858119,1102369.6,247,191,52,52,2948,2948,2948,2948,2948,4396,5844,3.204079868,560.4422297,856.1967001,2.566333333,Average,2
5,1,Driving-7,elastic,125,125000,4.810019016,0.02268876894,0.03143190789,4.77765,940760,213,153,52,52,1260,2948,2948,2948,2948,4396,5844,5.649052672,480.4646883,699.3885771,2.617666667,Average,2
5,1,Driving-7,elastic,130,130000,4.943799973,0.01837843856,0.02248569585,4.879396,1312488,270,218,52,1260,2446,2948,2948,2948,2948,4396,5844,10.92419789,795.0233417,1147.747821,2.652,Average,2
5,1,Driving-7,elastic,135,135000,4.378539085,0.0259085153,0.03134682857,3.291417,645459.2,170,106,52,52,52,1340.5,2948,2948,2948,2948,5844,2.446629516,353.1459832,491.5808373,2.663,Average,2
5,1,Driving-7,elastic,140,140000,4.863407135,0.01200841268,0.01158086217,3.949074,1832905.6,406,342,52,1500,2948,2948,2948,2948,2948,4396,4396,4.311686175,1305.272379,2110.319992,2.644666667,Average,2
5,1,Driving-7,elastic,145,145000,4.88024807,0.02067901724,0.01319938462,2.402288,1372032,237,183,52,52,2446,2948,2948,2948,4396,5844,8740,3.210649284,591.1273379,862.5253323,2.688333333,Average,2
5,1,Driving-7,elastic,150,150000,4.611506939,0.01733649225,0.02001505181,3.862905,1655952,267,194,52,52,1500,2948,2948,4396,5844,7292,8740,2.926489128,572.4014544,919.1278198,2.699,Average,2
